ref	temp	F
"Bellini et al., 2012"	28	11.27688239
"Bellini et al., 2012"	28	14.66992665
"Bellini et al., 2012"	28	8.482610648
"Briegel & Timmermann, 2001"	17	6.216732355
"Briegel & Timmermann, 2001"	27	10.78010896
"Briegel & Timmermann, 2001"	32	15.30529172
"Delatte et al., 2009"	20	5.666480759
"Delatte et al., 2009"	25	12.57340907
"Delatte et al., 2009"	30	20.23452413
"Delatte et al., 2009"	35	11.10477711
"Dieng et al., 2010"	29	12.65589158
"Tsuda et al., 1994"	27	9.319578069
"Udaka, 1959"	14	2.49176502
"Udaka, 1959"	20	3.51366425
"Udaka, 1959"	23	12.12554604
"Udaka, 1959"	27	17.61910282
"Udaka, 1959"	25	14.44112833
"Xue et al., 2008"	27	19.85626521
"Xue et al., 2009"	27	18.72029674
"Aida et al., 2011"	29	20.40762517
"Löwenberg Neto & Navarro-Silva, 2004"	23.5	5.895659957
"Xue et al., 2001"	27	26.4
"Armbruster & Hutchingson, 2002"	28	16.56
"Braks et al., 2006"	25	10.495
"Calado & Silva, 2002 (Influência…)"	15	0
"Calado & Silva, 2002 (Influência…)"	20	1.3
"Calado & Silva, 2002 (Influência…)"	25	4.2
"Calado & Silva, 2002 (Influência…)"	30	3.73
"Aida et al., 2008"	29.3	6.143578649
"Braks et al., 2006"	25	8.576801773
"Calado & Silva, 2002 (Influência…)"	15	0.020369088
"Calado & Silva, 2002 (Influência…)"	20	1.418413856
"Calado & Silva, 2002 (Influência…)"	25	5.750969612
"Calado & Silva, 2002 (Influência…)"	30	5.475193371
"Islam & Dobson, 2006"	28	3.226898341
