ref	temp	surv
"Delatte et al., 2009"	5	0.917884303
"Delatte et al., 2009"	10	0.872001413
"Calado & Silva, 2002 (Avaliação…)"	15	0.916130181
"Delatte et al., 2009"	15	0.959026669
"Calado & Silva, 2002 (Influência…)"	15	0
"Calado & Silva, 2002 (Avaliação…)"	20	0.948348348
"Delatte et al., 2009"	20	0.898147032
"Calado & Silva, 2002 (Influência…)"	20	0.812976812
"Juliano et al., 2002"	22	0.990717539
"Juliano et al., 2002"	22	0.998391686
"Juliano et al., 2002"	22	0.994953494
"Juliano et al., 2002"	22	0.994953494
"Juliano et al., 2002"	24	0.995760392
"Juliano et al., 2002"	24	0.997801654
"Juliano et al., 2002"	24	0.997801654
"Juliano et al., 2002"	24	0.999494245
"Calado & Silva, 2002 (Avaliação…)"	25	0.919854764
"Delatte et al., 2009"	25	0.824935097
"Sota & Mogi, 1992"	25	0.706464105
"Sota & Mogi, 1992"	25	0.847853798
"Sota & Mogi, 1992"	25	0.935734182
"Calado & Silva, 2002 (Influência…)"	25	0.898337889
"Gubler, 1970 (From Hawley, 1987; Medlock et al., 2006)"	25	0.82855329
"Islam & Dobson, 2006"	25	0.971523814
"Juliano et al., 2002"	26	0.991160622
"Juliano et al., 2002"	26	0.995349994
"Juliano et al., 2002"	26	0.997898132
"Juliano et al., 2002"	26	0.999007021
"Bellini et al., 2012"	28	0.980153011
"Bellini et al., 2012"	28	0.975451822
"Bellini et al., 2012"	28	0.971213102
"Bellini et al., 2012"	28	0.972012243
"Bellini et al., 2012"	28	0.944197021
"Bellini et al., 2012"	28	0.946517269
"Bellini et al., 2012"	28	0.975977658
"Bellini et al., 2012"	28	0.969608668
"Bellini et al., 2012"	28	0.981446552
"Aida et al., 2011"	29	0.970336004
"Calado & Silva, 2002 (Avaliação…)"	30	0.95238567
"Delatte et al., 2009"	30	0.864587052
"Calado & Silva, 2002 (Influência…)"	30	0.918133828
"Lounibos et al., 2010"	31.5	0.994974127
"Lounibos et al., 2010"	34.5	0.979532782
"Lounibos et al., 2010"	34.5	0.958600457
"Delatte et al., 2009"	35	0.698124519
"Lounibos et al., 2010"	36.5	0.9943004
"Lounibos et al., 2010"	37.5	0.895913318
"Lounibos et al., 2010"	39	0.975668703
"Lounibos et al., 2010"	39	0
"Lounibos et al., 2010"	39.5	0.997148346
"Delatte et al., 2009"	40	0
"Lounibos et al., 2010"	40	0
"Lounibos et al., 2010"	41	0.991574934
"Lounibos et al., 2010"	41	0.82489321
"Lounibos et al., 2010"	41	0
"Lounibos et al., 2010"	41	0.737877198
"Lounibos et al., 2010"	42	0
"Lounibos et al., 2010"	45	0
"Lounibos et al., 2010"	46	0
"Lounibos et al., 2010"	46	0.715700628
"Lounibos et al., 2010"	48	0
"Lounibos et al., 2010"	50	0
"Lounibos et al., 2010"	51	0
"Lounibos et al., 2010"	54	0
"Thomas et al., 2012"	0	0.860429
"Thomas et al., 2012"	-2	0.875468
"Thomas et al., 2012"	-5	0.507737
"Thomas et al., 2012"	-7	0.147286
"Thomas et al., 2012"	-10	0
"Thomas et al., 2012"	-12	0
"Thomas et al., 2012"	-15	0
